index,skill_id,name,folder,category,risk_profile
37,child_nutrition_meal_planner,儿童营养餐 Agent,skills/37_child_nutrition_meal_planner,家庭运营与成长档案,health_adjacent
38,family_grocery_list,家庭买菜清单 Agent,skills/38_family_grocery_list,家庭运营与成长档案,general_parenting
39,family_travel_planner,亲子旅行规划 Agent,skills/39_family_travel_planner,家庭运营与成长档案,general_parenting
40,weekend_family_activity,周末亲子活动 Agent,skills/40_weekend_family_activity,家庭运营与成长档案,general_parenting
41,family_photo_organizer,家庭照片整理 Agent,skills/41_family_photo_organizer,家庭运营与成长档案,general_parenting
42,child_growth_archive,儿童成长档案 Agent,skills/42_child_growth_archive,家庭运营与成长档案,general_parenting
43,kindergarten_selection,幼儿园择校 Agent,skills/43_kindergarten_selection,择校消费与家庭财务,consumer_decision
44,extracurricular_class_selection,兴趣班选择 Agent,skills/44_extracurricular_class_selection,择校消费与家庭财务,consumer_decision
45,after_school_class_risk_checker,课外班避坑 Agent,skills/45_after_school_class_risk_checker,择校消费与家庭财务,consumer_decision
46,child_book_recommender,儿童图书推荐 Agent,skills/46_child_book_recommender,择校消费与家庭财务,consumer_decision
47,child_toy_purchase_advisor,儿童玩具选购 Agent,skills/47_child_toy_purchase_advisor,择校消费与家庭财务,consumer_decision
48,family_education_budget_planner,家庭教育支出规划 Agent,skills/48_family_education_budget_planner,择校消费与家庭财务,consumer_decision
49,parent_emotion_management,父母情绪管理 Agent,skills/49_parent_emotion_management,父母情绪与家庭治理,family_relationship
50,family_meeting_facilitator,家庭会议主持 Agent,skills/50_family_meeting_facilitator,父母情绪与家庭治理,family_relationship
